"Story","Title","Result","Date","Stability","Duration (s)"
"Correo para administrador","Correo de creacion de pedido enviado al administrador exitosamente","SUCCESS","2022-04-28T11:25:41.5692246-05:00[America/Bogota]","0.0","1.63"
"Correo para administrador","Correo de modificacion de pedido al administrador enviado exitosamente","SUCCESS","2022-04-28T11:25:43.3004542-05:00[America/Bogota]","0.0","0.35"
"Correo para administrador","Correo de cancelacion de pedido al administrador enviado exitosamente","SUCCESS","2022-04-28T11:25:43.7277577-05:00[America/Bogota]","0.0","0.07"
"Correo para cliente","Correo de creacion de pedido enviado a cliente exitosamente","SUCCESS","2022-04-28T11:25:41.4271245-05:00[America/Bogota]","0.0","1.83"
"Correo para cliente","Correo de modificacion de pedido a cliente enviado exitosamente","SUCCESS","2022-04-28T11:25:43.3554942-05:00[America/Bogota]","0.0","0.12"
"Correo para cliente","Correo de cancelacion de pedido a cliente enviado exitosamente","SUCCESS","2022-04-28T11:25:43.6186803-05:00[America/Bogota]","0.0","0.15"
"Crear nueva reserva","Creacion de reserva exitosa","SUCCESS","2022-04-28T11:25:39.3206275-05:00[America/Bogota]","0.0","32.33"
"Eliminar reserva","Cancelacion de reserva exitosa","SUCCESS","2022-04-28T11:25:39.9210544-05:00[America/Bogota]","0.0","33.01"
"Eliminar reserva","Cancelacion de reserva inexistente","SUCCESS","2022-04-28T11:26:13.1876814-05:00[America/Bogota]","0.0","1.64"
"Obtener fecha con horas ocupadas","Listar horas ocupadas de un dia especifico","SUCCESS","2022-04-28T11:25:50.7107174-05:00[America/Bogota]","0.0","27.18"
"Modificar informacion de reservas","Actualizar datos de reserva exitosamente","SUCCESS","2022-04-28T11:26:26.9385681-05:00[America/Bogota]","0.0","8.39"
"Modificar informacion de reservas","Actualizar datos a reserva inexistente","SUCCESS","2022-04-28T11:26:35.3597468-05:00[America/Bogota]","0.0","0.8"
"Obtener reservas","Consulta de reserva exitosa","SUCCESS","2022-04-28T11:26:18.6685747-05:00[America/Bogota]","0.0","3.18"
"Obtener reservas","Consulta de reserva inexistente","SUCCESS","2022-04-28T11:26:21.8703603-05:00[America/Bogota]","0.0","1.0"
